text,predicted_sentiment
Gym Company Layoff good morning good night really dont care,positive
Saans leta hu kahin na kahin se layoffs hoojate hain,positive
Amazon slogan now a day Hire Hire kyu karte ho Layoff ka jamana hai Ye to bass suruwaat hai Abhi or 10 hajaar ko hataana hai,positive
Kese kese log hote he yrr Internshipplacement se related koi grp dikha nahi usko join ya fir usko forward toh ese karte he jaise Ambani apni wealth me se sabko UPI kar raha ho Ek hi din me 0 members se 300 Kya marketing skills he,positive
CoinSwitch Layoff 44,positive
Bhai I dont want to make sense of Tech Layoffs please Merko toh pehle se daal mei kuchh kala lag raha tha,positive
Jaise ka ap jaan rahe hai sir ajkl layoff kiya ja raha hai company se aur me vfx field se hu aur yaha se bhi hathya ja raha hai aur yaha salery itna kam dete hai mumbai me ki kharacha hojata hai rent and family ko bhi dena padhta hai please kuch kariye ap mujhe bhi,positive
